Giant hogweed,43.3273,-80.6344
Giant hogweed,43.6484,-79.7217
Giant hogweed,44.5708,-78.1322
Giant hogweed,45.3248,-79.2166
Giant hogweed,43.4987,-79.8463
Giant hogweed,44.3056,-80.4818
Giant hogweed,44.3325,-79.5414
Giant hogweed,44.5891,-80.9286
Giant hogweed,43.4245,-80.5446
Giant hogweed,44.0083,-79.2528
Giant hogweed,44.6212,-80.8842
Giant hogweed,45.1772,-79.3998
Giant hogweed,44.0332,-79.9578
Giant hogweed,43.9365,-78.6916
Giant hogweed,43.9072,-80.0959
Giant hogweed,43.5357,-80.5722
Giant hogweed,43.4459,-79.88
Giant hogweed,45.1773,-79.3998
Giant hogweed,44.5004,-80.2245
Giant hogweed,44.1624,-81.2195
Giant hogweed,43.9036,-79.0544
Giant hogweed,44.905,-79.3985
Giant hogweed,44.5904,-80.9273
Giant hogweed,44.5908,-80.9267
Giant hogweed,43.9033,-79.0548
Giant hogweed,44.015,-79.985
Giant hogweed,44.5024,-80.225
Giant hogweed,44.5031,-80.2252
Giant hogweed,43.9279,-78.7017
Giant hogweed,44.7003,-79.5353
Giant hogweed,43.9533,-79.9437
Giant hogweed,44.432,-78.8068
Giant hogweed,43.7985,-79.4781
Giant hogweed,43.7985,-79.4781
Giant hogweed,43.4546,-79.7275
Giant hogweed,43.2578,-81.1447
Giant hogweed,46.5106,-80.9504
Giant hogweed,43.5358,-80.5722
Giant hogweed,44.2937,-76.5181
Giant hogweed,43.8907,-78.9682
Giant hogweed,44.671,-80.8055
Giant hogweed,44.1142,-79.1223
Giant hogweed,42.9842,-81.1821
Giant hogweed,44.5004,-80.2246
Giant hogweed,44.5913,-80.9266
Giant hogweed,44.591,-80.9268
Giant hogweed,44.5868,-80.9298
Giant hogweed,44.5903,-80.9273
Giant hogweed,44.5913,-80.9267
Giant hogweed,44.5916,-80.9262
Giant hogweed,45.0154,-79.6126
Giant hogweed,44.6718,-79.462
Giant hogweed,45.2308,-75.3392
Giant hogweed,45.2308,-75.3392
Giant hogweed,44.6174,-78.1453
Giant hogweed,44.5642,-78.1489
Giant hogweed,45.2333,-78.9
Giant hogweed,45.2333,-78.9
Giant hogweed,45.0167,-79.6167
Giant hogweed,43.5167,-79.8833
Giant hogweed,43.5,-79.95
Giant hogweed,43.2667,-79.9167
Giant hogweed,43.2667,-79.9167
Giant hogweed,43.2667,-79.9167
Giant hogweed,45.35,-80.0333
Giant hogweed,43.4479,-80.2498
Giant hogweed,43.6833,-80.4333
Giant hogweed,43.6833,-80.4333
Giant hogweed,43.4667,-80.4167
Giant hogweed,45.8647,-80.5664
Giant hogweed,43.5333,-80.55
Giant hogweed,43.4667,-80.5167
Giant hogweed,43.4833,-80.6
Giant hogweed,43.9833,-80.7333
Giant hogweed,43.5167,-80.65
Giant hogweed,43.3833,-80.7
Giant hogweed,44.7333,-80.9333
Giant hogweed,44.6833,-80.9833
Giant hogweed,44.05,-80.9167
Giant hogweed,43.9,-80.8833
Giant hogweed,43.9667,-80.9667
Giant hogweed,44.75,-81.0167
Giant hogweed,44.75,-81.0167
Giant hogweed,44.6833,-81
Giant hogweed,44.6833,-81
Giant hogweed,44.6833,-81
Giant hogweed,43.4,-81.0667
Giant hogweed,44.95,-81.2167
Giant hogweed,44.95,-81.2167
Giant hogweed,44.95,-81.2167
Giant hogweed,44.8333,-81.25
Giant hogweed,44.75,-81.15
Giant hogweed,44.75,-81.15
Giant hogweed,44.75,-81.15
Giant hogweed,44.55,-81.1667
Giant hogweed,44.55,-81.1667
Giant hogweed,44.4667,-81.15
Giant hogweed,43.4667,-81.2
