
Glossy buckthorn,45.3585,-75.974,
Glossy buckthorn,45.2636,-76.1487,
Glossy buckthorn,45.2636,-76.1485,
Glossy buckthorn,45.2636,-76.1466,
Glossy buckthorn,45.2608,-76.1456,
Glossy buckthorn,45.2607,-76.1456,
Glossy buckthorn,45.2609,-76.1458,
Glossy buckthorn,45.2601,-76.1462,
Glossy buckthorn,45.2601,-76.1463,
Glossy buckthorn,45.2599,-76.1463,
Glossy buckthorn,45.2596,-76.1464,
Glossy buckthorn,45.2593,-76.1461,
Glossy buckthorn,45.2589,-76.1469,
Glossy buckthorn,45.2566,-76.1511,
Glossy buckthorn,45.2558,-76.1511,
Glossy buckthorn,45.2559,-76.1511,
Glossy buckthorn,45.2585,-76.1528,
Glossy buckthorn,45.4796,-76.2177,
Glossy buckthorn,45.4795,-76.2182,
Glossy buckthorn,45.4794,-76.2168,
Glossy buckthorn,45.4788,-76.2167,
Glossy buckthorn,45.4885,-76.2182,
Glossy buckthorn,45.0564,-75.6763,
Glossy buckthorn,45.0584,-75.6697,
Glossy buckthorn,45.062,-75.6607,
Glossy buckthorn,44.7627,-79.8077,
Glossy buckthorn,44.7626,-79.8077,
Glossy buckthorn,44.7626,-79.8077,
Glossy buckthorn,45.4429,-76.3583,
Glossy buckthorn,44.6982,-75.7505,
Glossy buckthorn,42.9518,-81.2224,
Glossy buckthorn,42.9477,-81.225,
Glossy buckthorn,45.2507,-76.14,
Glossy buckthorn,45.0866,-79.6362,
Glossy buckthorn,49.4158,-82.4288,
Glossy buckthorn,43.3674,-80.3375,
Glossy buckthorn,45.1696,-75.8775,
Glossy buckthorn,44.9571,-75.8187,
Glossy buckthorn,44.7134,-75.7269,
Glossy buckthorn,44.7133,-75.7268,
Glossy buckthorn,46.5103,-84.3527,
Glossy buckthorn,45.0907,-75.7348,
Glossy buckthorn,45.1696,-75.8775,
Glossy buckthorn,44.7134,-75.7269,
Glossy buckthorn,44.7133,-75.7268,
Glossy buckthorn,44.9571,-75.8187,
